han,num
AT&T,3
B超,3
c#,3
C#,3
c++,3
C++,3
T恤,4
A座,3
A股,3
A型,3
A轮,3
AA制,3
AB型,3
B座,3
B股,3
B型,3
B超,3
B轮,3
BB机,3
BP机,3
C盘,3
C座,3
C语言,3
CD盒,3
CD机,3
CALL机,3
D盘,3
D座,3
D版,3
E盘,3
E座,3
E化,3
E通,3
F盘,3
F座,3
G盘,3
H盘,3
H股,3
I盘,3
IC卡,3
IP卡,3
IP电话,3
IP地址,3
K党,3
K歌之王,3
N年,3
O型,3
PC机,3
PH值,3
SIM卡,3
U盘,3
VISA卡,3
Z盘,3
Q版,3
QQ号,3
RSS订阅,3
T盘,3
X光,3
X光线,3
X射线,3
γ射线,3
T恤衫,3
T型台,3
T台,3
4S店,3
4s店,3
江南style,3
江南Style,3
1号店,3
小S,3
大S,3
阿Q,3
一,217830
一一,1670
一一二,11
一一例,3
一一分,8
一一列举,34
一一对,9
一一对应,43
一一记,2
一一道来,4
一丁,18
一丁不识,3
一丁点,3
一丁点儿,24
一七,22
一七八不,3
一万,442
一万一千,4
一万一千五百二十颗,2
一万一千八百八十斤,2
一万一千多间,2
一万一千零九十五册,4
一万七千,5
一万七千余,2
一万七千多,2
一万七千多户,2
一万万,4
一万万两,4
一万三千,8
一万三千五百一十七,2
一万三千五百斤,4
一万三千余种,2
一万三千块,2
一万两,124
一万两万,4
一万两千,3
一万个,62
一万九千,2
一万九千余,2
一万二,10
一万二千,7
一万二千两,2
一万二千五百,4
一万二千五百一十二,2
一万二千五百余,2
一万二千五百余吨,2
一万二千亩,2
一万二千余,2
一万二千六百八十二箱,2
一万二千名,3
一万二千里,3
一万五,6
一万五千,45
一万五千一百四十四卷,2
一万五千两,4
一万五千个,2
一万五千二百余,2
一万五千余,9
一万五千元,3
一万五千名,4
一万五千多,2
一万五千家,2
一万亿,3
一万亿美元,5
一万余,41
一万余吨,2
一万余顷,2
一万倍,14
一万元,61
一万八,5
一万八千,7
一万八千余,8
一万八千多元,2
一万公里,2
一万六千,5
一万六千三百户,2
一万六千余户,2
一万六千多,3
一万册,2
一万刀,7
一万匹,4
一万卷,2
一万双,6
一万发,2
一万句,11
一万只,9
一万名,16
一万四千,3
一万四千二百四十三户,2
一万四千余顷,2
一万四千多元,3
一万回,2
一万块,49
一万声,2
一万多,86
一万多一点,2
一万多两,9
一万多个,10
一万多例,2
一万多元,10
一万多只,2
一万多名,26
一万多块,6
一万多平方公里,2
一万多年,4
一万多斤,3
一万多顷,2
一万天,2
一万头,2
一万宗,2
一万家,8
一万左右,3
一万年,39
一万张,3
一万户,5
一万斤,9
一万条,4
一万次,16
一万步,30
一万盏,4
一万种,2
一万贯,4
一万遍,9
一万里,4
一万间,5
一万零五百亿斤,2
一丈,298
一三,19
一三五,6
一三六八,2
一三四团,3
一上,3
一上午,53
一上台,3
一上场,3
一下,13924
一下一下,22
一下下,37
一下二十,2
一下余,2
一下全部,3
一下十三,2
一下半,3
一下周,3
一下四周,6
一下圈,2
一下场,3
一下头,54
一下子,2333
一下子全部,3
一下子发,2
一下子多出,2
一下子成,16
一下子打,10
一下子把,61
一下子站,15
一下子脸,3
一下床,6
一下张,8
一下手,17
一下眼,10
一下站,25
一下肚子,2
一下脸,10
一下页,2
一下顶,5
一下顿,2
一下首,2
一不做,87
一不压众,3
一不小心,125
一不怕苦,10
一不扭众,3
一不注意,3
一不留神,3
一专多能,27
一世,770
一世之雄,2
一世英名,3
一世龙门,3
一丘一壑,3
一丘之貉,12
一业,37
一业为主,3
一丛丛,31
一丝,1186
一丝一毫,67
一丝不挂,60
一丝不紊,3
一丝不苟,112
一丝丝,58
一丝两气,3
一丝半粟,3
一两,382
一两一,2
一两一两,2
一两万,40
一两万元,6
一两万块,4
一两万美元,2
一两丈,5
一两下,7
一两个,424
一两九十元,2
一两二两,3
一两五,4
一两件,39
一两倍,4
一两八,5
一两分,7
一两分钟,17
一两千,38
一两千元,3
一两千块,2
一两千平方米,2
一两千架,2
一两半两,2
一两发,2
一两口,7
一两句,68
一两句话,3
一两只,21
一两叶,2
一两名,8
一两周,4
一两回,8
一两场,10
一两块,4
一两声,24
一两处,14
一两多,5
一两天,169
一两套,7
一两家,13
一两寸,3
一两尺,2
一两岁,17
一两年,164
一两张,8
一两成,2
一两手,8
一两折,2
一两招,12
一两支,3
一两日,19
一两月,7
一两本,8
一两条,8
一两杯,5
一两枚,8
一两株,2
一两样,13
一两根,4
一两次,73
一两款,2
一两步,5
一两点,19
一两片,6
一两百,7
一两百万,4
一两百个,2
一两百元,5
一两百年,7
一两碗,2
一两秒,3
一两篇,5
一两米,6
一两辆,2
一两遍,2
一两部,6
一两里,3
一两重,5
一两门,3
一两间,4
一两页,17
一两项,6
一两颗,5
一两首,3
一个,142747
一个一个把,2
一个一千多年,2
一个一号,2
一个一尺,2
一个一岁,4
一个一百多年,2
一个一百多斤,2
一个一米,3
一个七八,2
一个七八岁,8
一个七十,2
一个七十岁,2
一个七品,4
一个七岁,2
一个万里,2
一个三十,19
一个三十余岁,2
一个三十出头,3
一个三十多岁,25
一个三十岁,6
一个三品,3
一个三四岁,3
一个三四百,2
一个三天,4
一个三层,4
一个三岁,7
一个三维,4
一个三面,3
一个两万四千元,2
一个两万多,4
一个两岁,7
一个个,2055
一个九十度,2
一个九品,3
一个九头,4
一个九岁,3
一个九曲,2
一个二两,2
一个二元,7
一个二十,11
一个二十七八岁,3
一个二十三岁,3
一个二十五六岁,7
一个二十五岁,3
一个二十多岁,13
一个二十岁,6
一个二维,4
一个二重,3
一个五六岁,2
一个五十,11
一个五十两,2
一个五十余岁,2
一个五十多岁,16
一个五十岁,3
一个五十左右,2
一个五品,5
一个五尺,2
一个五岁,12
一个五百,2
一个五袋,2
一个亿,24
一个亿万,4
一个伍,2
一个八九十岁,2
一个八九岁,6
一个八品,2
一个八岁,2
一个六七岁,5
一个六十,2
一个六十七岁,2
一个六十多,2
一个六十多岁,2
一个六十岁,2
一个六口,2
一个六品,16
一个六尺,2
一个六层,2
一个六岁,6
一个几万,6
一个几亿,17
一个几千万元,2
一个几岁,3
一个几百万,5
一个劲,42
一个劲儿,143
一个劲地,101
一个包,26
一个十,18
一个十一,4
一个十一二岁,7
一个十七八岁,8
一个十七岁,6
一个十七级,2
一个十三四岁,11
一个十三岁,4
一个十个,3
一个十九岁,3
一个十二,22
一个十二三岁,9
一个十二岁,3
一个十五六岁,9
一个十五岁,8
一个十余丈,4
一个十余岁,2
一个十八九岁,7
一个十八岁,11
一个十六七岁,12
一个十六岁,4
一个十几岁,14
一个十四五岁,9
一个十四岁,4
一个十多岁,4
一个十岁,10
一个千,15
一个千年,4
一个半,148
一个半头,4
一个半月,52
一个半桩,2
一个双,30
一个名,76
一个响,21
一个四六级,2
一个四十,11
一个四十余岁,4
一个四十出头,2
一个四十多岁,19
一个四十岁,4
一个四品,6
一个四圈,2
一个四岁,5
一个团,89
一个圈,29
一个多,378
一个多亿,3
一个多元,8
一个多头,2
一个多月,406
一个多项,2
一个天,93
一个头,70
一个套,14
一个家,94
一个少数派,2
一个尺,5
一个巴掌拍不响,9
一个帖,8
一个床,9
一个心眼,3
一个情节,3
一个愿打,3
一个愿挨,3
一个打,86
一个拖拉机,2
一个排,42
一个支,24
一个数万,3
一个整,13
一个整团,3
一个月,1811
一个样,62
一个样儿,5
一个桶,5
一个点,77
一个班,84
一个瓢,4
一个甲子,5
一个男孩,3
一个百里,2
一个盆,5
一个碗,17
一个程,5
一个第一次,16
一个第三种,2
一个筐,5
一个箭步,3
一个系列,14
一个纸,36
一个组,18
一个终日,2
一个终生,4
一个肚子,6
一个胎,2
一个脚印,4
一个舒服,3
一个萝卜一个坑,8
一个角,13
一个身,56
一个通,25
一个遍,7
一个集,20
一个零,10
一个顶,20
一个鼻孔,3
一中,5590
一中一台,45
一中全会,227
一中院,13
一串,687
一串串,4
一串红,2
一串骊珠,3
一丸,3
一举,848
一举一动,190
一举万里,3
一举三反,3
一举三得,13
一举两全,3
一举两得,67
一举中标,3
一举之劳,3
一举千里,3
一举四得,4
一举多得,9
一举成名,204
一举手一,3
一举数得,11
一久,3
一义,3
一之为甚,3
一之已甚,3
一之谓甚,3
一乐,3
一乙醇胺,6
一九,25
一九一一,2
一九一九年,5
一九一二年,2
一九一五年,2
一九一六年,4
一九一四年,3
一九七,20
一九七一年,8
一九七七,4
一九七七年,18
一九七三年,8
一九七九年,23
一九七二年,12
一九七五年,8
一九七八,3
一九七八年,15
一九七六,3
一九七六年,28
一九七四年,5
一九七零年,4
一九三,6
一九三一年,4
一九三七年,23
一九三三年,4
一九三九年,17
一九三二年,3
一九三五年,9
一九三八年,17
一九三六年,17
一九三四年,4
一九九,12
一九九一年,6
一九九七,7
一九九七年,67
一九九三,2
一九九三年,9
一九九九年,18
一九九二,2
一九九二年,13
一九九五年,20
一九九八,3
一九九八年,47
一九九六,5
一九九六年,19
一九九四年,12
一九九零年,3
一九二,4
一九二七年,15
一九二九,4
一九二九年,2
一九二二年,3
一九二五年,5
一九二八年,6
一九二四年,6
一九五,42
一九五一年,21
一九五七年,22
一九五三年,19
一九五九年,13
一九五二年,26
一九五五年,17
一九五八年,12
一九五六年,10
一九五四年,21
一九五零年,2
一九八,20
一九八一年,19
一九八七年,5
一九八三年,14
一九八九,2
一九八九年,10
一九八二年,16
一九八五年,9
一九八八年,11
一九八六年,13
一九八四年,16
一九六,17
一九六一年,8
一九六七年,17
一九六三年,22
一九六九年,17
一九六二年,268
一九六五年,20
一九六八年,12
一九六六,3
一九六六年,21
一九六四年,12
一九六零年,2
一九四,13
一九四一,2
一九四一年,10
一九四七年,27
一九四三,3
一九四三年,21
一九四九年,107
一九四二,2
一九四二年,25
一九四五年,19
一九四八,5
一九四八年,24
一九四六年,20
一九四四年,20
一乡,13
一买一卖,3
一乱涂地,3
一乾二净,2
一了百了,61
一了百当,3
一事,893
一事不明,3
一事不知,3
一事无成,59
一二,938
一二一,5
一二万,12
一二万贯,2
一二三,21
一二三四,7
一二三四五,5
一二三四五六七八九十,2
一二两,4
一二个,22
一二九,190
一二二七年,2
一二五,3
一二亩,2
一二件,8
一二位,6
一二例,16
一二倍,2
一二八,20
一二分,8
一二分钟,10
一二十,20
一二十万,8
一二十两,3
一二十个,5
一二十件,2
一二十元,2
一二十匹,3
一二十卷,2
一二十厘米,2
一二十天,3
一二十岁,2
一二十年,24
一二十户,4
一二十日,3
一二十种,2
一二十米,2
一二十里,4
一二十页,3
一二十首,3
一二千,18
一二千两,2
一二千米,4
一二叠,2
一二句,7
一二只,2
一二名,4
一二品,7
一二四,2
一二声,3
一二天,9
一二寸,3
一二尺,6
一二层,3
一二年,41
一二成,6
一二招,3
一二斤,2
一二日,66
一二枚,2
一二根,2
一二次,21
一二点,20
一二片,2
一二百,40
一二百万,3
一二百两,7
一二百个,7
一二百元,3
一二百分,2
一二百号,2
一二百名,6
一二百块,2
一二百年,21
一二百招,2
一二百斤,3
一二百米,5
一二百辆,3
一二百里,7
一二百首,2
一二种,3
一二节,2
一二里,19
一二零,2
一五,90
一五一十,127
一五五年,2
一五日元,2
一五零,2
一些,33468
一些丝,2
一些余部,2
一些则,132
一些半,8
一些半些,3
一些场次,2
一些支,3
一些片,10
一些种,22
一些第三,3
一些篇,5
一些系列,2
一些纸,2
一些美金,2
一产,3
一亩,112
一亮,3
一亲芳泽,3
一人之下,26
一人之交,3
一人份,3
一人传虚,3
一人向隅,2
一人善射,3
一人得道,7
一人班,3
一亿,51
一亿一千万元,2
一亿一千多万,2
一亿七千万,2
一亿三千万,2
一亿三千万年,2
一亿三千余万两,2
一亿三千多万年,2
一亿两千万,2
一亿二千万,2
一亿五千万,5
一亿人,3
一亿人次,2
一亿八千八百余万元,2
一亿六千多万元,2
一亿分,2
一亿四千五百万日元,2
一亿多,23
一亿多年,4
一亿多美元,2
一亿年,2
一亿担,2
一亿次,18
一亿零一百万两,2
一亿零五百万,2
一介,3
一介不取,3
一介不苟,3
一介之善,3
一介之士,3
一介之才,3
一介书生,20
一介武夫,3
一仍其旧,3
一仍旧贯,3
一代,2101
一代人,66
一代代,93
一代宗师,3
一代宗臣,3
一代文宗,3
一代新人,3
一代楷模,3
一代英豪,3
一代谈宗,3
一代豪杰,3
一代风流,3
一代鼎臣,3
一以当十,3
一以当百,3
一以贯之,44
一件,6216
一件件,2
一任,188
一份,3677
一伍,3
一休哥,3
一伙,491
一伙人,3
一伙儿,3
一会,3178
一会一节,5
一会儿,3200
一会儿双行,2
一会儿回,2
一会儿天,3
一会儿头,2
一会儿开,8
一会儿张,2
一会儿打,4
一会儿摊,2
一会儿步,2
一会儿站,13
一会儿记,2
一会儿门,4
一会家,3
一会开,2
一会方,2
一传,72
一传十,3
一似,3
一位,9387
一位数,3
一体,1526
一体化,1178
一体同心,3
一体式,6
一体机,29
一佛出世,5
一例,226
一侧,729
一便士,2
一俟,3
一倍,986
一倡一和,3
一倡三叹,3
一倡百和,3
一偏,3
一偏之见,3
一偏之论,3
一停,3
一元,168
一元二次方程,3
一元函数,3
一元化,25
一元复始,5
一元大武,3
一元方程,3
一元论,35
一元说,3
一元酸,2
一元醇,6
一兆元,3
一克,14
一党制,29
一党独大,3
一兜,10
一八,1096
一八九,3
一八九九,3
一八二六年,2
一八八七年,3
一八八五年,2
一八四八年,2
一公顷,6
一六,11
一六六,2
一六四八年,2
一六四四,2
一六角,2
一共,726
一兵一卒,3
一具,468
一内一外,3
一册,54
一再,1140
一再嘱咐,3
一再声明,3
一再强调,3
一再表示,3
一再说明,3
一写出,3
一写到,3
一决胜负,3
一决雌雄,28
一准,32
一准儿,2
一凉,3
一几,10
一出,964
一出场,3
一出头,3
一出戏,3
一击必杀,3
一刀,1547
一刀两断,60
一刀两段,14
一刀切,67
一刀斩,3
一分,1236
一分一毫,11
一分一秒,2
一分为二,108
一分之差,3
一分收获,3
一分耕耘,3
一分货,3
一分钟,496
一分钱,3
一分钱一,3
一分高下,4
一切,16361
一切万物,3
一切从严,3
一切众生,17
一切办法,3
一切就简,3
一切权利,3
一切正常,3
一切照旧,3
一切都在,3
一切都是,3
一切顺利,3
一划,3
一列,192
一则,851
一则以喜,3
一则以忧,3
一则以惧,3
一删而空,3
一别,3
一别多年,3
一券,3
一刹,3
一刹那,212
